"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000196569.12",17943.3606496474,2.02158760050934,0.132522219133158,2.96301342389901e-54,1.31760528518541e-51,"LAMA2","3908"
"ENSG00000154930.14",659.157857258504,1.86018419562124,0.121570144324504,4.29849135492797e-54,1.86245915168136e-51,"ACSS1","84532"
"ENSG00000046653.14",1127.87615398109,2.63487918476457,0.173923805501831,1.73193246796741e-53,7.31654871092834e-51,"GPM6B","2824"
"ENSG00000107562.16",27586.8939998272,-1.8004326244121,0.119149795686914,2.56279208725208e-53,1.05624538269233e-50,"CXCL12","6387"
"ENSG00000148175.12",13529.2144667443,1.41126118600962,0.0951619427852537,4.78514360347372e-51,1.92522277646426e-48,"STOM","2040"
"ENSG00000126803.9",464.988116989708,2.49554419901497,0.170648701484739,4.30307873398881e-50,1.69100987085914e-47,"HSPA2","3306"
"ENSG00000185432.11",3949.25136174865,2.19698240230285,0.151231253879945,1.16072638273378e-49,4.45771691259897e-47,"METTL7A","25840"
"ENSG00000102804.14",5296.09937481793,1.18670074510044,0.0816147506197294,6.52326971776647e-49,2.44956025979595e-46,"TSC22D1","8848"
"ENSG00000103196.11",3131.4491152148,2.60590473006087,0.182718072686883,1.8384502185065e-48,6.75350691137452e-46,"CRISPLD2","83716"
"ENSG00000157150.4",191.886661441475,2.88082329716968,0.200702217818131,5.88872976569913e-48,2.11718628895285e-45,"TIMP4","7079"
"ENSG00000172403.10",9157.37877572384,1.74877466518695,0.121953595237892,6.99520579174423e-48,2.46260390560196e-45,"SYNPO2","171024"
"ENSG00000124762.13",8042.94440802676,-0.994333001756129,0.0691693651331942,9.40553179705205e-48,3.20300964470071e-45,"CDKN1A","1026"
"ENSG00000164647.8",1854.16218482233,1.55759838572663,0.108829337637503,9.47748149100695e-48,3.20300964470071e-45,"STEAP1","26872"
"ENSG00000138316.10",753.751658254346,-2.46489207815672,0.173527509954147,1.22453365549528e-47,4.05728817854103e-45,"ADAMTS14","140766"
"ENSG00000162616.8",1436.98897399896,1.30413349047662,0.0912181155353567,1.88108716544523e-47,6.11280979263336e-45,"DNAJB4","11080"
"ENSG00000133142.17",3001.6903707927,1.50781118797444,0.106695316393683,1.67606332576699e-46,5.34379586392654e-44,"TCEAL4","79921"
"ENSG00000163431.12",6767.81945249233,1.17272941629723,0.0840183651807153,1.76115119202843e-45,5.51109867461044e-43,"LMOD1","25802"
"ENSG00000148848.14",1356.84232298322,-1.83452777164044,0.13188013786315,1.97149875790023e-45,6.05716109290875e-43,"ADAM12","8038"
"ENSG00000197381.15",1889.58298465248,2.21499676062286,0.16011892317545,2.5656347959484e-45,7.7418029967743e-43,"ADARB1","104"
"ENSG00000145685.13",2006.83583337217,-1.15822417820439,0.0830833908837962,3.22659404827444e-45,9.56543618030551e-43,"LHFPL2","10184"
"ENSG00000070404.9",1755.02872743104,1.61686599110468,0.116708412408122,6.61548778791561e-45,1.92738814896893e-42,"FSTL3","10272"
"ENSG00000151726.13",1458.30628488052,1.59338733428949,0.11580066746997,2.32085287643069e-44,6.64707998405521e-42,"ACSL1","2180"
"ENSG00000187193.8",195.144127925709,3.16082880271081,0.23087186616554,4.53373055779649e-44,1.27684964942742e-41,"MT1X","4501"
"ENSG00000103742.11",375.931420094366,-2.30316977183574,0.168735464367844,7.78867301516795e-44,2.15759010836571e-41,"IGDCC4","57722"
"ENSG00000167641.10",237.405952067649,3.00471372100012,0.220919785125909,8.99584136463737e-44,2.45180205451036e-41,"PPP1R14A","94274"
"ENSG00000134686.18",2881.18095889713,1.43709848851062,0.105350498536157,1.26042741896371e-43,3.38074643264267e-41,"PHC2","1912"
"ENSG00000172986.12",773.117999534426,-1.69622402627468,0.126701925999096,3.24089233572249e-42,8.5569685451623e-40,"GXYLT2","727936"
"ENSG00000162407.8",25961.4343070085,-0.979553428079537,0.0730280654186995,4.67103342349217e-42,1.21432496600263e-39,"PLPP3","8613"
"ENSG00000138735.15",7416.63546179855,-1.13600568627746,0.0862426044051669,9.83078435865959e-41,2.51697869837318e-38,"PDE5A","8654"
"ENSG00000112837.16",2648.24061319608,-1.69564262156579,0.129503164818782,1.17471612022479e-40,2.96273925366545e-38,"TBX18","9096"
"ENSG00000136999.4",443.601358366811,-2.55640447188688,0.196083641517874,1.34081240186677e-40,3.33191881863891e-38,"CCN3","4856"
"ENSG00000168309.17",143.771338421006,4.77147431060531,0.364374390005386,2.22575884353518e-40,5.45085115044311e-38,"FAM107A","11170"
"ENSG00000130513.6",460.144309414145,-1.8848325060206,0.144674497270026,4.90768910873472e-40,1.18471615084856e-37,"GDF15","9518"
"ENSG00000099337.4",945.055619601673,2.48295276446389,0.19271314915639,6.5305725606706e-40,1.5542762694396e-37,"KCNK6","9424"
"ENSG00000115457.9",1913.35395245421,2.17522372777692,0.168792749596032,7.14894136565359e-40,1.67781682217798e-37,"IGFBP2","3485"
"ENSG00000149218.4",2036.70250628355,1.92621277648006,0.149587627854438,1.37340609512587e-39,3.17915290348451e-37,"ENDOD1","23052"
"ENSG00000068383.18",1415.65977337147,1.37375751302319,0.106034720823166,1.50951729717203e-39,3.44700314697472e-37,"INPP5A","3632"
"ENSG00000101825.7",4707.25582980976,-1.28422726998567,0.0993158234368951,1.87870576017067e-39,4.2328493247152e-37,"MXRA5","25878"
"ENSG00000147027.3",12612.7080646321,1.14454333792742,0.0895386112470236,1.48218372777498e-38,3.29551850420284e-36,"TMEM47","83604"
"ENSG00000020577.13",3114.40595161377,1.21653529949149,0.0953899640777449,2.33811407502442e-38,5.13109761555359e-36,"SAMD4A","23034"
"ENSG00000163513.17",13250.0625126029,1.45856786257381,0.115473697424286,6.43250690830443e-38,1.39354489405805e-35,"TGFBR2","7048"
"ENSG00000197043.13",14126.7380652803,0.954537472631251,0.0751809401233171,7.62146636595297e-38,1.63022200825156e-35,"ANXA6","309"
"ENSG00000131389.17",737.562405916608,-2.0029282482319,0.159491705837783,8.33893084619551e-38,1.76139066798765e-35,"SLC6A6","6533"
"ENSG00000116584.17",2243.19187445279,-1.03502965674001,0.0819584048409223,1.09574308555694e-37,2.28590946416558e-35,"ARHGEF2","9181"
"ENSG00000071282.11",4041.04277557092,1.60296382988634,0.127705416886163,1.57355201030398e-37,3.24266852074594e-35,"LMCD1","29995"
"ENSG00000150907.7",681.955402897821,2.21786837579617,0.177708887778537,1.98097058153852e-37,4.03306516708891e-35,"FOXO1","2308"
"ENSG00000122035.6",917.206710173093,2.13867812341653,0.171872156860774,3.31237325404652e-37,6.66339086272357e-35,"RASL11A","387496"
"ENSG00000196517.11",238.186943489777,-2.37106729807616,0.190692599378296,6.61238128632814e-37,1.31454139972203e-34,"SLC6A9","6536"
"ENSG00000227051.6",4593.53032850976,-1.08013709758815,0.0864533487839957,8.54508845203965e-37,1.67901051933216e-34,"C14orf132","56967"
"ENSG00000185950.8",2264.00736508149,2.08896213802575,0.169512558973113,1.03453188524887e-36,2.00937009160177e-34,"IRS2","8660"
"ENSG00000221869.4",1984.54751267686,1.5268309101212,0.123105995361789,1.16314665743315e-36,2.23350593378471e-34,"CEBPD","1052"
"ENSG00000131831.17",1008.18235821912,1.44490817210892,0.116177596645656,1.18964640583534e-36,2.25872415346129e-34,"RAI2","10742"
"ENSG00000221866.9",844.085591848989,2.69440240205452,0.221719542953206,3.66546796385536e-36,6.88211973924753e-34,"PLXNA4","91584"
"ENSG00000146122.16",2581.08122020043,1.64832563341772,0.134487177085698,4.88974852673711e-36,9.07988687964876e-34,"DAAM2","23500"
"ENSG00000137809.16",1175.29241709048,-1.65994618115815,0.135231919997245,4.9540675680689e-36,9.09932975709004e-34,"ITGA11","22801"
"ENSG00000119138.4",1702.51196553702,2.05986717809257,0.16903453513143,5.43354685686347e-36,9.87269621368591e-34,"KLF9","687"
"ENSG00000099998.17",530.11968358194,2.25872267940291,0.184704109926807,6.56711183340435e-36,1.1805431463922e-33,"GGT5","2687"
"ENSG00000008256.15",3726.70861360186,1.2008235657688,0.0976705683292775,6.66801640914345e-36,1.18606464507059e-33,"CYTH3","9265"
"ENSG00000180914.10",538.968472248467,1.84547786639107,0.150888631872156,1.49429899514673e-35,2.63027754374891e-33,"OXTR","5021"
"ENSG00000125868.15",15818.9582894908,0.889195034287765,0.0724838266112811,1.52594445687782e-35,2.65828963219809e-33,"DSTN","11034"
"ENSG00000108821.13",99655.6022027675,-1.21516507978119,0.0997604174401669,2.41097940765087e-35,4.15721735004944e-33,"COL1A1","1277"
"ENSG00000060718.21",350.650286007122,2.33638062248816,0.192574272107655,2.55478087112994e-35,4.36067547074279e-33,"COL11A1","1301"
"ENSG00000100242.15",3901.23932199666,1.68585895179076,0.139459469963756,3.77037465156047e-35,6.37117908620688e-33,"SUN2","25777"
